REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT
1/27/18 19:51,EVENING,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF 15TH STREET NW,2
12/13/17 4:30,MIDNIGHT,BURGLARY,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1
11/30/17 21:24,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 14TH STREET NW,2
12/24/17 11:04,DAY,THEFT F/AUTO,OTHERS,1306 - 1399 BLOCK OF H STREET NW,1
12/7/17 22:40,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF NEW YORK AVENUE NW,1
11/22/17 15:44,EVENING,THEFT F/AUTO,OTHERS,700 - 799 BLOCK OF 13TH STREET NW,1
12/15/17 1:10,MIDNIGHT,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF NEW YORK AVENUE NW,2
12/13/17 19:56,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 14TH STREET NW,2
11/26/17 18:45,EVENING,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF PENNSYLVANIA AVENUE NW,2
12/2/17 3:53,MIDNIGHT,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF 14TH STREET NW,1
2/23/18 23:18,MIDNIGHT,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
2/22/18 19:58,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
2/6/18 10:16,DAY,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF PENNSYLVANIA AVENUE NW,2
12/24/17 11:57,DAY,THEFT/OTHER,OTHERS,700 - 723 BLOCK OF 14TH STREET NW,1
1/21/18 20:04,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1
12/28/17 19:48,EVENING,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF H STREET NW,2
1/2/18 15:58,EVENING,THEFT F/AUTO,OTHERS,1500 - 1521 BLOCK OF H STREET NW,2
8/14/17 13:36,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1
1/7/18 4:59,MIDNIGHT,BURGLARY,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1
11/1/17 15:51,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 15TH STREET NW,2
1/7/18 22:17,EVENING,THEFT/OTHER,OTHERS,718 - 799 BLOCK OF 15TH STREET NW,2
1/24/18 14:52,DAY,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
11/24/17 19:15,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1
2/13/18 21:00,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1
12/10/17 19:23,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
11/9/17 22:46,EVENING,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF I STREET NW,2
2/14/18 12:31,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
6/6/18 21:34,EVENING,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF G STREET NW,2
