Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Marijuana Policy Project,Marijuana Policy Project,SECOND QUARTER REPORT,"$75,000.00 ",7/13/18,2018
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,SECOND QUARTER REPORT,Ê,7/6/18,2018
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,"$75,000.00 ",5/9/18,2018
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,FIRST QUARTER REPORT,Ê,4/2/18,2018
Marijuana Policy Project,Marijuana Policy Project,FOURTH QUARTER REPORT,"$75,000.00 ",3/1/18,2017
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,FOURTH QUARTER AMENDMENT,Ê,1/29/18,2017
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,FOURTH QUARTER REPORT,Ê,1/10/18,2017
Marijuana Policy Project,Marijuana Policy Project,THIRD QUARTER REPORT,"$20,000.00 ",10/30/17,2017
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,THIRD QUARTER REPORT,Ê,10/10/17,2017
Marijuana Policy Project,Marijuana Policy Project,SECOND QUARTER REPORT,"$20,000.00 ",9/13/17,2017
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,SECOND QUARTER REPORT,Ê,7/10/17,2017
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,"$20,000.00 ",5/5/17,2017
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,FIRST QUARTER REPORT,Ê,4/3/17,2017
Marijuana Policy Project,Marijuana Policy Project,FOURTH QUARTER AMENDMENT,Ê,3/9/17,2015
Marijuana Policy Project,Marijuana Policy Project,FOURTH QUARTER REPORT,"$20,000.00 ",1/24/17,2016
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,FOURTH QUARTER REPORT,Ê,1/17/17,2016
Marijuana Policy Project,Marijuana Policy Project,THIRD QUARTER REPORT,"$20,000.00 ",10/13/16,2016
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,THIRD QUARTER REPORT,Ê,10/6/16,2016
Marijuana Policy Project,Marijuana Policy Project,SECOND QUARTER REPORT,"$30,000.00 ",7/18/16,2016
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,SECOND QUARTER REPORT,Ê,7/13/16,2016
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,"$20,000.00 ",5/9/16,2016
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,FIRST QUARTER REPORT,Ê,4/11/16,2016
Marijuana Policy Project,Marijuana Policy Project,FOURTH QUARTER REPORT,Ê,2/17/16,2015
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,FOURTH QUARTER REPORT,Ê,1/4/16,2015
Marijuana Policy Project,Marijuana Policy Project,REGISTRATION AMENDMENT,Ê,12/11/15,2015
Marijuana Policy Project,Marijuana Policy Project,FIRST QUARTER REPORT,"$35,000.00 ",11/5/15,2015
Marijuana Policy Project,Marijuana Policy Project,FOURTH QUARTER REPORT,"$15,000.00 ",11/5/15,2014
Marijuana Policy Project,Marijuana Policy Project,SECOND QUARTER REPORT,"$35,000.00 ",11/5/15,2015
Marijuana Policy Project,Marijuana Policy Project,THIRD QUARTER REPORT,"$35,000.00 ",11/5/15,2015
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,THIRD QUARTER REPORT,Ê,10/7/15,2015
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,SECOND QUARTER REPORT,Ê,7/6/15,2015
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,FIRST QUARTER REPORT,Ê,6/8/15,2015
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,FOURTH QUARTER REPORT,Ê,1/16/15,2014
National Organization for the Reform of Marijuana Laws,National Organization for the Reform of Marijuana Laws,THIRD QUARTER REPORT,Ê,1/16/15,2014
Marijuana Policy Project,Marijuana Policy Project,THIRD QUARTER (NO ACTIVITY),Ê,10/20/14,2014
National Org for the Reform of Marijuana Laws,National Org for the Reform of Marijuana Laws,SECOND QUARTER REPORT,Ê,8/22/14,2014
