NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,OCTO_RECORD_ID,ANC,REPORT_DAT,METHOD,location,LATITUDE
cluster 7,005201,property,-77.0319616332377,2019-03-23T00:11:36.000,theft/other,midnight,138264,3,2,2019,property|theft/other,,3D3,301,6,005201 4,precinct 16,397228,1618 - 1699 block of 14th street nw,2019-03-22T23:21:07.000,19048653,theft/other,19048653-01,2F,2019-03-23T04:24:36.000Z,others,"38.912243047813774,-77.03196392747607",38.9122352584037
cluster 7,005002,property,-77.0311185748451,2019-03-23T00:40:37.000,theft f/auto,midnight,137919,3,2,2019,property|theft f/auto,,3D3,307,7,005002 2,precinct 16,397301,1300 - 1399 block of rhode island avenue nw,2019-03-22T22:50:17.000,19048692,theft f/auto,19048692-01,2F,2019-03-23T05:24:04.000Z,others,"38.9091353969376,-77.031120868631007",38.9091276081226
cluster 31,007808,violent,-76.9122898087528,2019-03-23T02:45:46.000,robbery,midnight,136201,6,7,2019,violent|robbery,,6D1,608,4,007808 2,precinct 96,407609,300 - 399 block of 62nd street ne,2019-03-23T01:42:46.000,19048735,robbery,19048735-01,7C,2019-03-23T06:45:36.000Z,gun,"38.893630257383847,-76.912292064580697",38.8936224672729
cluster 27,007200,property,-77.0005531646956,2019-03-23T04:33:47.000,theft/other,midnight,134206,1,6,2019,property|theft/other,capitol riverfront,1D3,106,6,007200 2,precinct 131,399952,1200 - 1299 block of 4th street se,2019-03-23T03:27:38.000,19048772,theft/other,19048772-01,6D,2019-03-23T09:10:48.000Z,others,"38.875691454349337,-77.00055544692286",38.8756836711408
cluster 7,004801,property,-77.0173645253343,2019-03-27T16:30:15.000,theft/other,evening,138304,3,5,2019,property|theft/other,,3D2,308,6,004801 1,precinct 18,398494,r street nw and new jersey avenue nw,2019-03-27T15:03:59.000,19051592,theft/other,19051592-01,6E,2019-03-27T20:51:25.000Z,others,"38.91260646307537,-77.017366815049144",38.9125986730475
cluster 28,007504,violent,-76.9769434283953,,assault w/dangerous weapon,evening,133010,6,8,2019,violent|assault w/dangerous weapon,,6D2,607,3,007504 1,precinct 114,402001,1935 2199  block of good hope road se,2019-03-27T14:44:58.000,19051630,assault w/dangerous weapon,19051630-01,8A,2019-03-27T22:01:56.000Z,gun,"38.864915125412047,-76.976945702614685",38.8649073435001
cluster 19,009501,property,-77.0068179496695,2019-04-01T16:50:22.000,theft/other,evening,142466,4,5,2019,property|theft/other,,4D2,405,6,009501 1,precinct 44,399409,4800 - 4999 block of fort totten drive ne,2019-04-01T16:30:17.000,19054958,theft/other,19054958-01,5A,2019-04-02T00:51:08.000Z,others,"38.950100133654288,-77.006820238392422",38.9500923356772
cluster 2,002900,violent,-77.0256049997765,2019-04-01T20:10:30.000,assault w/dangerous weapon,evening,140744,4,1,2019,violent|assault w/dangerous weapon,,4D3,408,3,002900 1,precinct 42,397780,3600 - 3639 block of new hampshire avenue nw,2019-04-01T18:45:32.000,19054967,assault w/dangerous weapon,19054967-01,1A,2019-04-02T00:18:15.000Z,knife,"38.934585252646301,-77.025607293401762",38.9345774584962
cluster 23,008904,property,-76.9762165016557,2019-04-01T19:40:53.000,burglary,midnight,137184,5,5,2019,property|burglary,,5D3,507,5,008904 2,precinct 79,402063,900 - 999 block of 19th street ne,2019-04-01T06:40:54.000,19054990,burglary,19054990-01,5D,2019-04-02T03:39:56.000Z,others,"38.902515984249533,-76.976218777939081",38.9025081947231
cluster 16,001600,property,-77.0417499495921,2019-04-01T22:40:41.000,theft f/auto,evening,146859,4,4,2019,property|theft f/auto,,4D1,401,7,001600 4,precinct 62,396383,1800  - 1899 block of redwood terrace nw,2019-04-01T08:30:09.000,19055060,theft f/auto,19055060-01,4A,2019-04-02T02:40:32.000Z,others,"38.989666081638781,-77.041752251623777",38.9896582770016
cluster 22,009301,property,-76.9919034084643,,theft f/auto,midnight,140622,5,5,2019,property|theft f/auto,,5D2,504,7,009301 2,precinct 73,400702,1000 - 1199 block of newton street ne,2019-04-06T22:54:16.000,19058398,theft f/auto,19058398-01,5B,2019-04-07T04:03:09.000Z,others,"38.933488765028571,-76.991905691524948",38.933480969842
cluster 8,005800,property,-77.021915198495,2019-04-07T01:12:50.000,theft/other,midnight,136943,1,2,2019,property|theft/other,downtown,1D1,101,6,005800 1,precinct 129,398099,800 - 899 block of 7th street nw,2019-04-07T00:10:25.000,19058427,theft/other,19058427-01,2C,2019-04-07T05:12:39.000Z,others,"38.900345333614837,-77.021917488877975",38.9003375462289
cluster 3,003500,property,-77.0234541836238,2019-04-07T03:00:17.000,theft f/auto,midnight,138877,3,1,2019,property|theft f/auto,,3D2,305,7,003500 2,precinct 37,397966,800 - 899 block of v street nw,2019-04-06T20:00:10.000,19058513,theft f/auto,19058513-01,1B,2019-04-07T08:27:49.000Z,others,"38.917767175558744,-77.023456475550546",38.9177593847177
cluster 2,003500,violent,-77.0223950513847,2019-04-07T06:50:25.000,assault w/dangerous weapon,day,139487,3,1,2019,violent|assault w/dangerous weapon,,3D1,304,3,003500 2,precinct 37,398058,2400 - 2599 block of georgia avenue nw,2019-04-07T02:30:24.000,19058548,assault w/dangerous weapon,19058548-01,1B,2019-04-07T13:35:06.000Z,others,"38.923262462780642,-77.022397343317579",38.9232546707925
cluster 6,004300,property,-77.0355261158819,2019-04-11T12:50:04.000,theft/other,evening,138634,3,2,2019,property|theft/other,,3D3,301,6,004300 2,precinct 141,396919,1500 - 1599 block of t street nw,2019-04-11T12:49:25.000,19061629,theft/other,19061629-01,2B,2019-04-12T02:22:15.000Z,others,"38.915575103439025,-77.035528411433972",38.9155673134903
cluster 24,009000,property,-76.9526631389814,2019-04-11T22:00:25.000,theft/other,evening,139186,5,5,2019,property|theft/other,,5D2,503,6,009000 1,precinct 139,404105,2400 block of market street ne,2019-04-11T20:32:50.000,19061648,theft/other,19061648-01,5C,2019-04-12T02:12:15.000Z,others,"38.920543518001594,-76.952665409027077",38.9205357239627
cluster 2,003700,property,-77.0339515721209,2019-04-12T00:08:44.000,theft/other,midnight,139838,3,1,2019,property|theft/other,,3D1,304,6,003700 2,precinct 36,397056,1400 - 1499 block of harvard street nw,2019-04-11T22:56:10.000,19061705,theft/other,19061705-01,1A,2019-04-12T04:44:07.000Z,others,"38.926421596608272,-77.033953867846037",38.9264138044148
cluster 32,007703,property,-76.9427963954878,,theft f/auto,day,135409,6,7,2019,property|theft f/auto,,6D3,603,7,007703 1,precinct 103,404963,4310 - 4469 block of c street se,2019-04-12T06:47:55.000,19061808,theft f/auto,19061808-01,7F,2019-04-12T12:56:16.000Z,others,"38.886514543549538,-76.942798660386543",38.8865067560082
cluster 8,010100,property,-77.0338370164538,2019-04-12T10:32:08.000,theft/other,day,137320,2,2,2019,property|theft/other,downtown,2D3,207,6,010100 2,precinct 129,397065,1420 - 1499 block of l street nw,2019-04-12T08:45:50.000,19061866,theft/other,19061866-01,2F,2019-04-12T14:31:58.000Z,others,"38.903738639260361,-77.033839310756335",38.9037308516348
cluster 17,001902,property,-77.0120922654433,2019-04-16T20:35:33.000,theft/other,evening,143925,4,4,2019,property|theft/other,,4D2,406,6,001902 1,precinct 64,398952,6000  - 6099 block of north dakota avenue nw,2019-04-16T19:41:29.000,19064670,theft/other,19064670-01,4B,2019-04-17T01:25:31.000Z,others,"38.963242764802416,-77.012094556614258",38.9632349643753
cluster 18,002001,property,-77.0328584155447,2019-04-16T21:14:56.000,theft/other,evening,143201,4,4,2019,property|theft/other,,4D1,403,6,002001 1,precinct 53,397152,5500  - 5599 block of colorado avenue nw,2019-04-16T20:49:55.000,19064706,theft/other,19064706-01,4A,2019-04-17T01:44:20.000Z,others,"38.956716792853967,-77.032860712784654",38.9567089945168
cluster 33,009907,property,-76.9436646587617,,theft/other,evening,134873,6,7,2019,property|theft/other,,6D2,605,6,009907 1,precinct 103,404888,4301 4308  block of texas avenue se,2019-04-16T21:01:57.000,19064721,theft/other,19064721-01,7F,2019-04-17T01:39:19.000Z,others,"38.881686469923707,-76.94366692363711",38.881678683389
