FID,fire_zone_type,place_fips,place_name,neighborhood,x,y
41791,SRA,59346,Ramona CDP,,-116.9248284,33.06744729
41902,,59346,Ramona CDP,,-116.93538,33.0316215
41903,,59346,Ramona CDP,,-116.8990065,33.0354785
41909,,59346,Ramona CDP,,-116.9509613,33.026198
41910,,59346,Ramona CDP,,-116.9519841,33.02706143
41911,SRA,59346,Ramona CDP,,-116.9507471,33.01525796
41912,SRA,59346,Ramona CDP,,-116.941478,33.014629
41917,,59346,Ramona CDP,,-116.9351975,33.016452
41918,SRA,59346,Ramona CDP,,-116.9167069,33.01000852
41919,SRA,59346,Ramona CDP,,-116.9263615,33.01060476
41920,SRA,59346,Ramona CDP,,-116.9208395,33.011006
41921,SRA,59346,Ramona CDP,,-116.9190055,33.012024
41922,,59346,Ramona CDP,,-116.8999949,33.02129626
41923,,59346,Ramona CDP,,-116.8964315,33.0262125
41928,SRA,59346,Ramona CDP,,-116.887083,33.073204
41929,SRA,59346,Ramona CDP,,-116.8865355,33.0781325
41930,SRA,59346,Ramona CDP,,-116.8750545,33.064575
41931,,59346,Ramona CDP,,-116.8580777,33.06820749
41932,SRA,59346,Ramona CDP,,-116.8344385,33.087318
41933,SRA,59346,Ramona CDP,,-116.840712,33.07717519
41934,,59346,Ramona CDP,,-116.8502802,33.06421886
41935,,59346,Ramona CDP,,-116.8439963,33.0682499
41941,SRA,59346,Ramona CDP,,-116.8856045,33.05595517
41942,,59346,Ramona CDP,,-116.8724921,33.05721413
41943,,59346,Ramona CDP,,-116.8518317,33.06328076
41944,,59346,Ramona CDP,,-116.8643485,33.0473635
41945,SRA,59346,Ramona CDP,,-116.8570051,33.04748693
41946,LRA,59346,Ramona CDP,,-116.8577283,33.04765806
41947,,59346,Ramona CDP,,-116.8611,33.0499115
41948,,59346,Ramona CDP,,-116.8509965,33.05149
41949,,59346,Ramona CDP,,-116.8530887,33.05447446
41950,,59346,Ramona CDP,,-116.8911818,33.03681828
41951,,59346,Ramona CDP,,-116.8920705,33.0394285
41952,LRA,59346,Ramona CDP,,-116.8913302,33.04401645
41953,,59346,Ramona CDP,,-116.8726306,33.03889808
41954,,59346,Ramona CDP,,-116.8802019,33.03982933
